peer_group_id,description
PG_063,"Income: $8,759 - $144,500, Age: 17 - 33, State: DE, Goal: Emergency Fund Building"
PG_064,"Income: $8,759 - $144,500, Age: 17 - 33, State: DE, Goal: Travel"
PG_065,"Income: $8,759 - $144,500, Age: 17 - 33, State: DE, Goal: Home Purchase"
PG_066,"Income: $8,759 - $144,500, Age: 17 - 33, State: DE, Goal: Investment Growth"
PG_067,"Income: $8,759 - $144,500, Age: 17 - 33, State: DE, Goal: Education Funding (Child/Self)"
PG_068,"Income: $8,759 - $144,500, Age: 17 - 33, State: DE, Goal: Healthcare Savings"
PG_069,"Income: $8,759 - $144,500, Age: 17 - 33, State: DE, Goal: Early Financial Freedom/FIRE"
PG_070,"Income: $8,759 - $144,500, Age: 17 - 33, State: DE, Goal: Other"
PG_071,"Income: $8,759 - $144,500, Age: 17 - 33, State: MN, Goal: Debt Repayment"
PG_072,"Income: $8,759 - $144,500, Age: 17 - 33, State: MN, Goal: Retirement"
PG_073,"Income: $8,759 - $144,500, Age: 17 - 33, State: MN, Goal: Emergency Fund Building"
PG_074,"Income: $8,759 - $144,500, Age: 17 - 33, State: MN, Goal: Travel"
PG_075,"Income: $8,759 - $144,500, Age: 17 - 33, State: MN, Goal: Home Purchase"
PG_076,"Income: $8,759 - $144,500, Age: 17 - 33, State: MN, Goal: Investment Growth"
PG_077,"Income: $8,759 - $144,500, Age: 17 - 33, State: MN, Goal: Education Funding (Child/Self)"
PG_078,"Income: $8,759 - $144,500, Age: 17 - 33, State: MN, Goal: Healthcare Savings"
PG_079,"Income: $8,759 - $144,500, Age: 17 - 33, State: MN, Goal: Early Financial Freedom/FIRE"
PG_080,"Income: $8,759 - $144,500, Age: 17 - 33, State: MN, Goal: Other"
PG_081,"Income: $8,759 - $144,500, Age: 17 - 33, State: PA, Goal: Debt Repayment"
PG_082,"Income: $8,759 - $144,500, Age: 17 - 33, State: PA, Goal: Retirement"
PG_083,"Income: $8,759 - $144,500, Age: 17 - 33, State: PA, Goal: Emergency Fund Building"
PG_084,"Income: $8,759 - $144,500, Age: 17 - 33, State: PA, Goal: Travel"
PG_085,"Income: $8,759 - $144,500, Age: 17 - 33, State: PA, Goal: Home Purchase"
PG_086,"Income: $8,759 - $144,500, Age: 17 - 33, State: PA, Goal: Investment Growth"
PG_087,"Income: $8,759 - $144,500, Age: 17 - 33, State: PA, Goal: Education Funding (Child/Self)"
PG_088,"Income: $8,759 - $144,500, Age: 17 - 33, State: PA, Goal: Healthcare Savings"
PG_089,"Income: $8,759 - $144,500, Age: 17 - 33, State: PA, Goal: Early Financial Freedom/FIRE"
PG_090,"Income: $8,759 - $144,500, Age: 17 - 33, State: PA, Goal: Other"
PG_091,"Income: $8,759 - $144,500, Age: 17 - 33, State: NC, Goal: Debt Repayment"
PG_092,"Income: $8,759 - $144,500, Age: 17 - 33, State: NC, Goal: Retirement"
PG_093,"Income: $8,759 - $144,500, Age: 17 - 33, State: NC, Goal: Emergency Fund Building"
PG_094,"Income: $8,759 - $144,500, Age: 17 - 33, State: NC, Goal: Travel"
PG_095,"Income: $8,759 - $144,500, Age: 17 - 33, State: NC, Goal: Home Purchase"
PG_096,"Income: $8,759 - $144,500, Age: 17 - 33, State: NC, Goal: Investment Growth"
PG_097,"Income: $8,759 - $144,500, Age: 17 - 33, State: NC, Goal: Education Funding (Child/Self)"
PG_098,"Income: $8,759 - $144,500, Age: 17 - 33, State: NC, Goal: Healthcare Savings"
PG_099,"Income: $8,759 - $144,500, Age: 17 - 33, State: NC, Goal: Early Financial Freedom/FIRE"
PG_100,"Income: $8,759 - $144,500, Age: 17 - 33, State: NC, Goal: Other"
PG_101,"Income: $8,759 - $144,500, Age: 17 - 33, State: SD, Goal: Debt Repayment"
PG_102,"Income: $8,759 - $144,500, Age: 17 - 33, State: SD, Goal: Retirement"
PG_103,"Income: $8,759 - $144,500, Age: 17 - 33, State: SD, Goal: Emergency Fund Building"
PG_104,"Income: $8,759 - $144,500, Age: 17 - 33, State: SD, Goal: Travel"
PG_105,"Income: $8,759 - $144,500, Age: 17 - 33, State: SD, Goal: Home Purchase"
PG_106,"Income: $8,759 - $144,500, Age: 17 - 33, State: SD, Goal: Investment Growth"
PG_107,"Income: $8,759 - $144,500, Age: 17 - 33, State: SD, Goal: Education Funding (Child/Self)"
PG_108,"Income: $8,759 - $144,500, Age: 17 - 33, State: SD, Goal: Healthcare Savings"
PG_109,"Income: $8,759 - $144,500, Age: 17 - 33, State: SD, Goal: Early Financial Freedom/FIRE"
PG_110,"Income: $8,759 - $144,500, Age: 17 - 33, State: SD, Goal: Other"
PG_111,"Income: $8,759 - $144,500, Age: 17 - 33, State: UT, Goal: Debt Repayment"
PG_112,"Income: $8,759 - $144,500, Age: 17 - 33, State: UT, Goal: Retirement"
PG_113,"Income: $8,759 - $144,500, Age: 17 - 33, State: UT, Goal: Emergency Fund Building"
PG_114,"Income: $8,759 - $144,500, Age: 17 - 33, State: UT, Goal: Travel"
PG_115,"Income: $8,759 - $144,500, Age: 17 - 33, State: UT, Goal: Home Purchase"
PG_116,"Income: $8,759 - $144,500, Age: 17 - 33, State: UT, Goal: Investment Growth"
PG_117,"Income: $8,759 - $144,500, Age: 17 - 33, State: UT, Goal: Education Funding (Child/Self)"
PG_118,"Income: $8,759 - $144,500, Age: 17 - 33, State: UT, Goal: Healthcare Savings"
PG_119,"Income: $8,759 - $144,500, Age: 17 - 33, State: UT, Goal: Early Financial Freedom/FIRE"
PG_120,"Income: $8,759 - $144,500, Age: 17 - 33, State: UT, Goal: Other"
PG_121,"Income: $8,759 - $144,500, Age: 17 - 33, State: WV, Goal: Debt Repayment"
PG_122,"Income: $8,759 - $144,500, Age: 17 - 33, State: WV, Goal: Retirement"
PG_123,"Income: $8,759 - $144,500, Age: 17 - 33, State: WV, Goal: Emergency Fund Building"
PG_124,"Income: $8,759 - $144,500, Age: 17 - 33, State: WV, Goal: Travel"
PG_125,"Income: $8,759 - $144,500, Age: 17 - 33, State: WV, Goal: Home Purchase"
PG_126,"Income: $8,759 - $144,500, Age: 17 - 33, State: WV, Goal: Investment Growth"
PG_127,"Income: $8,759 - $144,500, Age: 17 - 33, State: WV, Goal: Education Funding (Child/Self)"
PG_128,"Income: $8,759 - $144,500, Age: 17 - 33, State: WV, Goal: Healthcare Savings"
PG_129,"Income: $8,759 - $144,500, Age: 17 - 33, State: WV, Goal: Early Financial Freedom/FIRE"
PG_130,"Income: $8,759 - $144,500, Age: 17 - 33, State: WV, Goal: Other"
PG_131,"Income: $8,759 - $144,500, Age: 17 - 33, State: PW, Goal: Debt Repayment"
PG_132,"Income: $8,759 - $144,500, Age: 17 - 33, State: PW, Goal: Retirement"
PG_133,"Income: $8,759 - $144,500, Age: 17 - 33, State: PW, Goal: Emergency Fund Building"
PG_134,"Income: $8,759 - $144,500, Age: 17 - 33, State: PW, Goal: Travel"
PG_135,"Income: $8,759 - $144,500, Age: 17 - 33, State: PW, Goal: Home Purchase"
PG_136,"Income: $8,759 - $144,500, Age: 17 - 33, State: PW, Goal: Investment Growth"
PG_137,"Income: $8,759 - $144,500, Age: 17 - 33, State: PW, Goal: Education Funding (Child/Self)"
PG_138,"Income: $8,759 - $144,500, Age: 17 - 33, State: PW, Goal: Healthcare Savings"
PG_139,"Income: $8,759 - $144,500, Age: 17 - 33, State: PW, Goal: Early Financial Freedom/FIRE"
PG_140,"Income: $8,759 - $144,500, Age: 17 - 33, State: PW, Goal: Other"
PG_141,"Income: $8,759 - $144,500, Age: 17 - 33, State: ID, Goal: Debt Repayment"
PG_142,"Income: $8,759 - $144,500, Age: 17 - 33, State: ID, Goal: Retirement"
PG_143,"Income: $8,759 - $144,500, Age: 17 - 33, State: ID, Goal: Emergency Fund Building"
PG_144,"Income: $8,759 - $144,500, Age: 17 - 33, State: ID, Goal: Travel"
PG_145,"Income: $8,759 - $144,500, Age: 17 - 33, State: ID, Goal: Home Purchase"
PG_146,"Income: $8,759 - $144,500, Age: 17 - 33, State: ID, Goal: Investment Growth"
PG_147,"Income: $8,759 - $144,500, Age: 17 - 33, State: ID, Goal: Education Funding (Child/Self)"
PG_148,"Income: $8,759 - $144,500, Age: 17 - 33, State: ID, Goal: Healthcare Savings"
PG_149,"Income: $8,759 - $144,500, Age: 17 - 33, State: ID, Goal: Early Financial Freedom/FIRE"
PG_150,"Income: $8,759 - $144,500, Age: 17 - 33, State: ID, Goal: Other"
PG_151,"Income: $8,759 - $144,500, Age: 17 - 33, State: KY, Goal: Debt Repayment"
PG_152,"Income: $8,759 - $144,500, Age: 17 - 33, State: KY, Goal: Retirement"
PG_153,"Income: $8,759 - $144,500, Age: 17 - 33, State: KY, Goal: Emergency Fund Building"
PG_154,"Income: $8,759 - $144,500, Age: 17 - 33, State: KY, Goal: Travel"
PG_155,"Income: $8,759 - $144,500, Age: 17 - 33, State: KY, Goal: Home Purchase"
PG_156,"Income: $8,759 - $144,500, Age: 17 - 33, State: KY, Goal: Investment Growth"
PG_157,"Income: $8,759 - $144,500, Age: 17 - 33, State: KY, Goal: Education Funding (Child/Self)"
PG_158,"Income: $8,759 - $144,500, Age: 17 - 33, State: KY, Goal: Healthcare Savings"
PG_159,"Income: $8,759 - $144,500, Age: 17 - 33, State: KY, Goal: Early Financial Freedom/FIRE"
PG_160,"Income: $8,759 - $144,500, Age: 17 - 33, State: KY, Goal: Other"
PG_161,"Income: $8,759 - $144,500, Age: 17 - 33, State: NM, Goal: Debt Repayment"
PG_162,"Income: $8,759 - $144,500, Age: 17 - 33, State: NM, Goal: Retirement"
PG_163,"Income: $8,759 - $144,500, Age: 17 - 33, State: NM, Goal: Emergency Fund Building"
PG_164,"Income: $8,759 - $144,500, Age: 17 - 33, State: NM, Goal: Travel"
PG_165,"Income: $8,759 - $144,500, Age: 17 - 33, State: NM, Goal: Home Purchase"
PG_166,"Income: $8,759 - $144,500, Age: 17 - 33, State: NM, Goal: Investment Growth"
PG_167,"Income: $8,759 - $144,500, Age: 17 - 33, State: NM, Goal: Education Funding (Child/Self)"
PG_168,"Income: $8,759 - $144,500, Age: 17 - 33, State: NM, Goal: Healthcare Savings"
PG_169,"Income: $8,759 - $144,500, Age: 17 - 33, State: NM, Goal: Early Financial Freedom/FIRE"
PG_170,"Income: $8,759 - $144,500, Age: 17 - 33, State: NM, Goal: Other"
PG_171,"Income: $8,759 - $144,500, Age: 17 - 33, State: FL, Goal: Debt Repayment"
PG_172,"Income: $8,759 - $144,500, Age: 17 - 33, State: FL, Goal: Retirement"
PG_173,"Income: $8,759 - $144,500, Age: 17 - 33, State: FL, Goal: Emergency Fund Building"
PG_174,"Income: $8,759 - $144,500, Age: 17 - 33, State: FL, Goal: Travel"
PG_175,"Income: $8,759 - $144,500, Age: 17 - 33, State: FL, Goal: Home Purchase"
PG_176,"Income: $8,759 - $144,500, Age: 17 - 33, State: FL, Goal: Investment Growth"
PG_177,"Income: $8,759 - $144,500, Age: 17 - 33, State: FL, Goal: Education Funding (Child/Self)"
PG_178,"Income: $8,759 - $144,500, Age: 17 - 33, State: FL, Goal: Healthcare Savings"
PG_179,"Income: $8,759 - $144,500, Age: 17 - 33, State: FL, Goal: Early Financial Freedom/FIRE"
PG_180,"Income: $8,759 - $144,500, Age: 17 - 33, State: FL, Goal: Other"
PG_181,"Income: $8,759 - $144,500, Age: 17 - 33, State: SC, Goal: Debt Repayment"
PG_182,"Income: $8,759 - $144,500, Age: 17 - 33, State: SC, Goal: Retirement"
PG_183,"Income: $8,759 - $144,500, Age: 17 - 33, State: SC, Goal: Emergency Fund Building"
PG_184,"Income: $8,759 - $144,500, Age: 17 - 33, State: SC, Goal: Travel"
PG_185,"Income: $8,759 - $144,500, Age: 17 - 33, State: SC, Goal: Home Purchase"
PG_186,"Income: $8,759 - $144,500, Age: 17 - 33, State: SC, Goal: Investment Growth"
PG_187,"Income: $8,759 - $144,500, Age: 17 - 33, State: SC, Goal: Education Funding (Child/Self)"
PG_188,"Income: $8,759 - $144,500, Age: 17 - 33, State: SC, Goal: Healthcare Savings"
PG_189,"Income: $8,759 - $144,500, Age: 17 - 33, State: SC, Goal: Early Financial Freedom/FIRE"
PG_190,"Income: $8,759 - $144,500, Age: 17 - 33, State: SC, Goal: Other"
PG_191,"Income: $8,759 - $144,500, Age: 17 - 33, State: GU, Goal: Debt Repayment"
PG_192,"Income: $8,759 - $144,500, Age: 17 - 33, State: GU, Goal: Retirement"
PG_193,"Income: $8,759 - $144,500, Age: 17 - 33, State: GU, Goal: Emergency Fund Building"
PG_194,"Income: $8,759 - $144,500, Age: 17 - 33, State: GU, Goal: Travel"
PG_195,"Income: $8,759 - $144,500, Age: 17 - 33, State: GU, Goal: Home Purchase"
PG_196,"Income: $8,759 - $144,500, Age: 17 - 33, State: GU, Goal: Investment Growth"
PG_197,"Income: $8,759 - $144,500, Age: 17 - 33, State: GU, Goal: Education Funding (Child/Self)"
PG_198,"Income: $8,759 - $144,500, Age: 17 - 33, State: GU, Goal: Healthcare Savings"
PG_199,"Income: $8,759 - $144,500, Age: 17 - 33, State: GU, Goal: Early Financial Freedom/FIRE"
PG_200,"Income: $8,759 - $144,500, Age: 17 - 33, State: GU, Goal: Other"
PG_201,"Income: $8,759 - $144,500, Age: 17 - 33, State: MH, Goal: Debt Repayment"
PG_202,"Income: $8,759 - $144,500, Age: 17 - 33, State: MH, Goal: Retirement"
PG_203,"Income: $8,759 - $144,500, Age: 17 - 33, State: MH, Goal: Emergency Fund Building"
PG_204,"Income: $8,759 - $144,500, Age: 17 - 33, State: MH, Goal: Travel"
PG_205,"Income: $8,759 - $144,500, Age: 17 - 33, State: MH, Goal: Home Purchase"
PG_206,"Income: $8,759 - $144,500, Age: 17 - 33, State: MH, Goal: Investment Growth"
PG_207,"Income: $8,759 - $144,500, Age: 17 - 33, State: MH, Goal: Education Funding (Child/Self)"
PG_208,"Income: $8,759 - $144,500, Age: 17 - 33, State: MH, Goal: Healthcare Savings"
PG_209,"Income: $8,759 - $144,500, Age: 17 - 33, State: MH, Goal: Early Financial Freedom/FIRE"
PG_210,"Income: $8,759 - $144,500, Age: 17 - 33, State: MH, Goal: Other"
PG_211,"Income: $8,759 - $144,500, Age: 17 - 33, State: MT, Goal: Debt Repayment"
PG_212,"Income: $8,759 - $144,500, Age: 17 - 33, State: MT, Goal: Retirement"
PG_213,"Income: $8,759 - $144,500, Age: 17 - 33, State: MT, Goal: Emergency Fund Building"
PG_214,"Income: $8,759 - $144,500, Age: 17 - 33, State: MT, Goal: Travel"
PG_215,"Income: $8,759 - $144,500, Age: 17 - 33, State: MT, Goal: Home Purchase"
PG_216,"Income: $8,759 - $144,500, Age: 17 - 33, State: MT, Goal: Investment Growth"
PG_217,"Income: $8,759 - $144,500, Age: 17 - 33, State: MT, Goal: Education Funding (Child/Self)"
PG_218,"Income: $8,759 - $144,500, Age: 17 - 33, State: MT, Goal: Healthcare Savings"
PG_219,"Income: $8,759 - $144,500, Age: 17 - 33, State: MT, Goal: Early Financial Freedom/FIRE"
PG_220,"Income: $8,759 - $144,500, Age: 17 - 33, State: MT, Goal: Other"
PG_221,"Income: $8,759 - $144,500, Age: 17 - 33, State: MI, Goal: Debt Repayment"
PG_222,"Income: $8,759 - $144,500, Age: 17 - 33, State: MI, Goal: Retirement"
PG_223,"Income: $8,759 - $144,500, Age: 17 - 33, State: MI, Goal: Emergency Fund Building"
PG_224,"Income: $8,759 - $144,500, Age: 17 - 33, State: MI, Goal: Travel"
PG_225,"Income: $8,759 - $144,500, Age: 17 - 33, State: MI, Goal: Home Purchase"
PG_226,"Income: $8,759 - $144,500, Age: 17 - 33, State: MI, Goal: Investment Growth"
PG_227,"Income: $8,759 - $144,500, Age: 17 - 33, State: MI, Goal: Education Funding (Child/Self)"
PG_228,"Income: $8,759 - $144,500, Age: 17 - 33, State: MI, Goal: Healthcare Savings"
PG_229,"Income: $8,759 - $144,500, Age: 17 - 33, State: MI, Goal: Early Financial Freedom/FIRE"
PG_230,"Income: $8,759 - $144,500, Age: 17 - 33, State: MI, Goal: Other"
PG_231,"Income: $8,759 - $144,500, Age: 17 - 33, State: IA, Goal: Debt Repayment"
PG_232,"Income: $8,759 - $144,500, Age: 17 - 33, State: IA, Goal: Retirement"
PG_233,"Income: $8,759 - $144,500, Age: 17 - 33, State: IA, Goal: Emergency Fund Building"
PG_234,"Income: $8,759 - $144,500, Age: 17 - 33, State: IA, Goal: Travel"
PG_235,"Income: $8,759 - $144,500, Age: 17 - 33, State: IA, Goal: Home Purchase"
PG_236,"Income: $8,759 - $144,500, Age: 17 - 33, State: IA, Goal: Investment Growth"
PG_237,"Income: $8,759 - $144,500, Age: 17 - 33, State: IA, Goal: Education Funding (Child/Self)"
PG_238,"Income: $8,759 - $144,500, Age: 17 - 33, State: IA, Goal: Healthcare Savings"
PG_239,"Income: $8,759 - $144,500, Age: 17 - 33, State: IA, Goal: Early Financial Freedom/FIRE"
PG_240,"Income: $8,759 - $144,500, Age: 17 - 33, State: IA, Goal: Other"
PG_241,"Income: $8,759 - $144,500, Age: 17 - 33, State: AZ, Goal: Debt Repayment"
PG_242,"Income: $8,759 - $144,500, Age: 17 - 33, State: AZ, Goal: Retirement"
PG_243,"Income: $8,759 - $144,500, Age: 17 - 33, State: AZ, Goal: Emergency Fund Building"
PG_244,"Income: $8,759 - $144,500, Age: 17 - 33, State: AZ, Goal: Travel"
PG_245,"Income: $8,759 - $144,500, Age: 17 - 33, State: AZ, Goal: Home Purchase"
PG_246,"Income: $8,759 - $144,500, Age: 17 - 33, State: AZ, Goal: Investment Growth"
PG_247,"Income: $8,759 - $144,500, Age: 17 - 33, State: AZ, Goal: Education Funding (Child/Self)"
PG_248,"Income: $8,759 - $144,500, Age: 17 - 33, State: AZ, Goal: Healthcare Savings"
PG_249,"Income: $8,759 - $144,500, Age: 17 - 33, State: AZ, Goal: Early Financial Freedom/FIRE"
PG_250,"Income: $8,759 - $144,500, Age: 17 - 33, State: AZ, Goal: Other"
PG_251,"Income: $8,759 - $144,500, Age: 17 - 33, State: NE, Goal: Debt Repayment"
PG_252,"Income: $8,759 - $144,500, Age: 17 - 33, State: NE, Goal: Retirement"
PG_253,"Income: $8,759 - $144,500, Age: 17 - 33, State: NE, Goal: Emergency Fund Building"
PG_254,"Income: $8,759 - $144,500, Age: 17 - 33, State: NE, Goal: Travel"
PG_255,"Income: $8,759 - $144,500, Age: 17 - 33, State: NE, Goal: Home Purchase"
PG_256,"Income: $8,759 - $144,500, Age: 17 - 33, State: NE, Goal: Investment Growth"
PG_257,"Income: $8,759 - $144,500, Age: 17 - 33, State: NE, Goal: Education Funding (Child/Self)"
PG_258,"Income: $8,759 - $144,500, Age: 17 - 33, State: NE, Goal: Healthcare Savings"
PG_259,"Income: $8,759 - $144,500, Age: 17 - 33, State: NE, Goal: Early Financial Freedom/FIRE"
PG_260,"Income: $8,759 - $144,500, Age: 17 - 33, State: NE, Goal: Other"
PG_261,"Income: $8,759 - $144,500, Age: 17 - 33, State: VT, Goal: Debt Repayment"
PG_262,"Income: $8,759 - $144,500, Age: 17 - 33, State: VT, Goal: Retirement"
PG_263,"Income: $8,759 - $144,500, Age: 17 - 33, State: VT, Goal: Emergency Fund Building"
PG_264,"Income: $8,759 - $144,500, Age: 17 - 33, State: VT, Goal: Travel"
PG_265,"Income: $8,759 - $144,500, Age: 17 - 33, State: VT, Goal: Home Purchase"
PG_266,"Income: $8,759 - $144,500, Age: 17 - 33, State: VT, Goal: Investment Growth"
PG_267,"Income: $8,759 - $144,500, Age: 17 - 33, State: VT, Goal: Education Funding (Child/Self)"
PG_268,"Income: $8,759 - $144,500, Age: 17 - 33, State: VT, Goal: Healthcare Savings"
PG_269,"Income: $8,759 - $144,500, Age: 17 - 33, State: VT, Goal: Early Financial Freedom/FIRE"
PG_270,"Income: $8,759 - $144,500, Age: 17 - 33, State: VT, Goal: Other"
PG_271,"Income: $8,759 - $144,500, Age: 17 - 33, State: VA, Goal: Debt Repayment"
PG_272,"Income: $8,759 - $144,500, Age: 17 - 33, State: VA, Goal: Retirement"
PG_273,"Income: $8,759 - $144,500, Age: 17 - 33, State: VA, Goal: Emergency Fund Building"
PG_274,"Income: $8,759 - $144,500, Age: 17 - 33, State: VA, Goal: Travel"
PG_275,"Income: $8,759 - $144,500, Age: 17 - 33, State: VA, Goal: Home Purchase"
PG_276,"Income: $8,759 - $144,500, Age: 17 - 33, State: VA, Goal: Investment Growth"
PG_277,"Income: $8,759 - $144,500, Age: 17 - 33, State: VA, Goal: Education Funding (Child/Self)"
PG_278,"Income: $8,759 - $144,500, Age: 17 - 33, State: VA, Goal: Healthcare Savings"
PG_279,"Income: $8,759 - $144,500, Age: 17 - 33, State: VA, Goal: Early Financial Freedom/FIRE"
PG_280,"Income: $8,759 - $144,500, Age: 17 - 33, State: VA, Goal: Other"
PG_281,"Income: $8,759 - $144,500, Age: 17 - 33, State: MS, Goal: Debt Repayment"
PG_282,"Income: $8,759 - $144,500, Age: 17 - 33, State: MS, Goal: Retirement"
PG_283,"Income: $8,759 - $144,500, Age: 17 - 33, State: MS, Goal: Emergency Fund Building"
PG_284,"Income: $8,759 - $144,500, Age: 17 - 33, State: MS, Goal: Travel"
PG_285,"Income: $8,759 - $144,500, Age: 17 - 33, State: MS, Goal: Home Purchase"
PG_286,"Income: $8,759 - $144,500, Age: 17 - 33, State: MS, Goal: Investment Growth"
PG_287,"Income: $8,759 - $144,500, Age: 17 - 33, State: MS, Goal: Education Funding (Child/Self)"
PG_288,"Income: $8,759 - $144,500, Age: 17 - 33, State: MS, Goal: Healthcare Savings"
PG_289,"Income: $8,759 - $144,500, Age: 17 - 33, State: MS, Goal: Early Financial Freedom/FIRE"
PG_290,"Income: $8,759 - $144,500, Age: 17 - 33, State: MS, Goal: Other"
